category,key,value,uncertainty,unit,reference_condition
gas_constant,R,8.3144621,0.0000075,J/(mol·K),
atomic_weight,C,12.0107,0.0004,kg/kmol,
atomic_weight,H,1.00794,0.000035,kg/kmol,
atomic_weight,N,14.0067,0.0001,kg/kmol,
atomic_weight,O,15.9994,0.00015,kg/kmol,
atomic_weight,S,32.065,0.0025,kg/kmol,
atomic_weight,He,4.002602,0.000001,kg/kmol,
atomic_weight,Ne,20.1797,0.0003,kg/kmol,
atomic_weight,Ar,39.948,0.0005,kg/kmol,
air,M_air,28.96546,0.00017,kg/kmol,
air,Z_air,0.999419,0.000015,,0_celsius_101.325_kPa
air,Z_air,0.999595,0.000015,,15_celsius_101.325_kPa
air,Z_air,0.999601,0.000015,,15.55_celsius_101.325_kPa
air,Z_air,0.999645,0.000015,,20_celsius_101.325_kPa
water,L0,45.064,0.004,kJ/mol,0_celsius
water,L0,44.431,0.004,kJ/mol,15_celsius
water,L0,44.408,0.004,kJ/mol,15.55_celsius
water,L0,44.222,0.004,kJ/mol,20_celsius
water,L0,44.013,0.004,kJ/mol,25_celsius
